,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,County Name,overall_TPI,Closest_Match,Median Household Income,School District,dist_key
90,TEXAS,4800195,VANGUARD ACADEMY,3283,False,0.059756320438623216,hidalgo,hidalgo,-0.625,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
91,TEXAS,4800201,NOVA ACADEMY (SOUTHEAST),543,False,0.07550644567219153,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
92,TEXAS,4800202,WINFREE ACADEMY CHARTER SCHOOLS,1252,False,0.046709265175718856,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
93,TEXAS,4800203,A+ ACADEMY,1352,False,0.056360946745562135,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
94,TEXAS,4800204,INSPIRED VISION ACADEMY,1320,False,0.06242424242424243,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
95,TEXAS,4800205,EL PASO ACADEMY,453,False,0.04415011037527594,el paso,el paso,-0.685,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
96,TEXAS,4800207,PREMIER HIGH SCHOOLS,7276,False,0.04007421660252886,hidalgo,hidalgo,-0.625,HIGH ISLAND,44861.0,High Island Independent School District / 738,HIGH ISLAND
97,TEXAS,4800209,YES PREP PUBLIC SCHOOLS INC,10860,False,0.062154696132596686,harris,harris,-0.54,,,,
98,TEXAS,4800210,HARMONY SCIENCE ACADEMY,3410,False,0.06451612903225806,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
99,TEXAS,4800211,IDEA PUBLIC SCHOOLS,35595,False,0.054726506531816266,hidalgo,hidalgo,-0.625,,,,
100,TEXAS,4800213,PANOLA CHARTER SCHOOL,147,False,0.034013605442176874,panola,panola,0.8250000000000001,HART,43523.0,"Hart Independent School District / 1,534",HART
101,TEXAS,4800214,BRAZOS RIVER CHARTER SCHOOL,236,False,0.06567796610169492,somervell,somervell,0.855,BRAZOS,51528.0,"Brazos Independent School District / 3,840",BRAZOS
102,TEXAS,4800221,EHRHART SCHOOL,387,False,0.07493540051679587,jefferson,jefferson,0.52,HART,43523.0,"Hart Independent School District / 1,534",HART
103,TEXAS,4800227,BIG SPRINGS CHARTER SCHOOL,233,False,0.09871244635193133,kerr,kerr,0.785,SPRING,52991.0,"Spring Independent School District / 178,081",SPRING
104,TEXAS,4800231,FORT WORTH ACADEMY OF FINE ARTS,785,False,0.11337579617834395,tarrant,tarrant,0.53,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
105,TEXAS,4800232,CEDARS INTERNATIONAL ACADEMY,504,False,0.07234126984126985,travis,travis,-0.7050000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
106,TEXAS,4800235,ORENDA CHARTER SCHOOL,1658,False,0.05910735826296743,williamson,williamson,0.52,HART,43523.0,"Hart Independent School District / 1,534",HART
107,TEXAS,4800236,EVOLUTION ACADEMY CHARTER SCHOOL,809,False,0.0369221260815822,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
108,TEXAS,4800237,GOLDEN RULE CHARTER SCHOOL,1441,False,0.06037473976405274,dallas,dallas,-0.63,HART,43523.0,"Hart Independent School District / 1,534",HART
109,TEXAS,4800240,PROMISE COMMUNITY SCHOOL,1913,False,0.05384213277574491,harris,harris,-0.54,COMMUNITY,73422.0,"Community Independent School District / 9,743",COMMUNITY
110,TEXAS,4800241,HARMONY SCIENCE ACADEMY (AUSTIN),3928,False,0.07204684317718942,travis,travis,-0.7050000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
111,TEXAS,4800246,LIGHTHOUSE CHARTER SCHOOL DISTRICT,288,False,0.0763888888888889,bexar,bexar,-0.5700000000000001,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
112,TEXAS,4800248,ST ANTHONY SCHOOL,335,False,0.056716417910447764,dallas,dallas,-0.63,ANTHONY,30244.0,"Anthony Independent School District / 5,402",ANTHONY
113,TEXAS,4800251,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,294,False,0.07227891156462585,travis,travis,-0.7050000000000001,TEXAS CITY,46297.0,"Texas City Independent School District / 27,678",TEXAS CITY
114,TEXAS,4800252,TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,127,False,1.1181102362204725,travis,travis,-0.7050000000000001,TEXAS CITY,46297.0,"Texas City Independent School District / 27,678",TEXAS CITY
115,TEXAS,4800253,TEXAS SCH FOR THE DEAF,477,False,0.23689727463312368,travis,travis,-0.7050000000000001,TEXAS CITY,46297.0,"Texas City Independent School District / 27,678",TEXAS CITY
116,TEXAS,4800254,WESTLAKE ACADEMY CHARTER SCHOOL,853,False,0.07596717467760844,tarrant,tarrant,0.53,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
117,TEXAS,4800255,EAST FORT WORTH MONTESSORI ACADEMY,377,False,0.08488063660477453,tarrant,tarrant,0.53,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
